Reporting Customer,Parent Customer/Project: Company Name,Customer,Transaction Type,Document Number,P.O. No.,Date,Due Date,Age,Bucket,Amount (Gross),Open Balance,Gross vs Amt Due,Email,Email 2,Sales Channel: Name,Memo,Terms: Name,Sales Rep: Name,Transaction Reason,Channel Clean,Snapshot Date
Roth's Food Center,,CP130800 Roth's Food Center,Chargeback,CM67597,CK 192766 | PYMT99835,2026-04-02,2026-04-02,102,91+,-148.0,-148.0,0.0,AP@roths.com,,Grocery Direct,Duplicate payment | INV833126,Net 45,Megan Adams,Duplicate PMT,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP113150 Chuck's Produce: Mill Plain,Invoice [AR INVOICE],INV843662,16315,2026-05-21,2026-07-05,8,1-14,222.0,222.0,0.0,chuckscoffeemp@gmail.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP113200 Chuck's Produce: Salmon Creek,Credit,CM66557,00827,2025-04-03,2025-04-03,466,91+,-9.81,-9.81,0.0,patrick.newman@chucksproduce.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP113200 Chuck's Produce: Salmon Creek,Invoice [AR INVOICE],INV843688,16316,2026-05-21,2026-07-05,8,1-14,111.0,111.0,0.0,patrick.newman@chucksproduce.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP113200 Chuck's Produce: Salmon Creek,Invoice [AR INVOICE],INV844912,16356,2026-06-04,2026-07-19,-6,Current,55.5,55.5,0.0,patrick.newman@chucksproduce.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP113200 Chuck's Produce: Salmon Creek,Invoice [AR INVOICE],INV846580,16612,2026-06-23,2026-08-07,-25,Current,55.5,55.5,0.0,patrick.newman@chucksproduce.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Credit,CM65158,Phone - Cheryl,2025-06-25,2025-06-25,383,91+,-62.28,-62.28,0.0,mcminnville@roths.com,,Foodservice Direct,Bag damaged in transit on INV806176,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV836698,Phone - Tyler,2026-03-12,2026-04-26,78,61-90,294.15,294.15,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV839731,FAX,2026-04-14,2026-05-29,45,31-60,246.0,246.0,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV843404,Call,2026-05-19,2026-07-03,10,1-14,222.84,222.84,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV844880,Phone - Debbie,2026-06-04,2026-07-19,-6,Current,289.15,289.15,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV845954,Phone - James,2026-06-17,2026-08-01,-19,Current,287.11,287.11,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131200 Roth's Food Center: McMinnville - Deli/Cafe,Invoice [AR INVOICE],INV847605,Phone - Debbie,2026-07-08,2026-08-22,-40,Current,280.15,280.15,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131250 Roth's Food Center: #4 McMinnville - Grocery,Invoice [AR INVOICE],INV844838,Fax - 5/29,2026-06-04,2026-07-19,-6,Current,246.0,246.0,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131250 Roth's Food Center: #4 McMinnville - Grocery,Invoice [AR INVOICE],INV846116,1257817876,2026-06-18,2026-08-02,-20,Current,246.0,246.0,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131250 Roth's Food Center: #4 McMinnville - Grocery,Invoice [AR INVOICE],INV847607,Email,2026-07-08,2026-08-22,-40,Current,246.0,246.0,0.0,mcminnville@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131350 Roth's Food Center: Silverton - Deli/Cafe,Invoice [AR INVOICE],INV821863,Email - Michelle 4/16,2025-04-18,2025-06-02,406,91+,121.9,121.9,0.0,silverton@Roths.Com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131350 Roth's Food Center: Silverton - Deli/Cafe,Invoice [AR INVOICE],INV841670,Email - Michelle,2026-04-30,2026-06-14,29,15-30,782.42,782.42,0.0,silverton@Roths.Com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131350 Roth's Food Center: Silverton - Deli/Cafe,Invoice [AR INVOICE],INV844301,Email - Michelle,2026-05-29,2026-07-13,0,Current,810.99,810.99,0.0,silverton@Roths.Com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131350 Roth's Food Center: Silverton - Deli/Cafe,Invoice [AR INVOICE],INV845434,Email - Michelle,2026-06-11,2026-07-26,-13,Current,48.25,48.25,0.0,silverton@Roths.Com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131350 Roth's Food Center: Silverton - Deli/Cafe,Invoice [AR INVOICE],INV845569,Email - Michelle,2026-06-12,2026-07-27,-14,Current,756.48,756.48,0.0,silverton@Roths.Com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131400 Roth's Food Center: #1 Silverton-Grocery,Invoice [AR INVOICE],INV844832,Email - Shawn,2026-06-04,2026-07-19,-6,Current,209.73,209.73,0.0,silverton@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131400 Roth's Food Center: #1 Silverton-Grocery,Invoice [AR INVOICE],INV845761,Email - Shawn,2026-06-16,2026-07-31,-18,Current,211.26,211.26,0.0,silverton@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131400 Roth's Food Center: #1 Silverton-Grocery,Invoice [AR INVOICE],INV846919,Shawn Trafton via groundworkcoffee.com,2026-06-29,2026-08-13,-31,Current,70.42,70.42,0.0,silverton@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131400 Roth's Food Center: #1 Silverton-Grocery,Invoice [AR INVOICE],INV847300,Email - Shawn,2026-07-02,2026-08-16,-34,Current,139.31,139.31,0.0,silverton@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV840923,Phone - Lupe,2026-04-24,2026-06-08,35,31-60,240.7,240.7,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV841685,Phone - Erika,2026-04-30,2026-06-14,29,15-30,215.23,215.23,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV841779,Phone - Erika,2026-05-01,2026-06-15,28,15-30,70.42,70.42,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV843068,Phone - Lupe,2026-05-14,2026-06-28,15,15-30,161.28,161.28,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV843141,Phone - Erika,2026-05-15,2026-06-29,14,1-14,9.0,9.0,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV843719,Phone - Juliana,2026-05-22,2026-07-06,7,1-14,294.65,294.65,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV844226,Phone - Lupe,2026-05-28,2026-07-12,1,1-14,153.81,153.81,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV844897,Phone - Lupe,2026-06-04,2026-07-19,-6,Current,115.49,115.49,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV845450,Phone - Lupe,2026-06-11,2026-07-26,-13,Current,70.42,70.42,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV846117,Phone - Lupe,2026-06-18,2026-08-02,-20,Current,213.7,213.7,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV847211,Phone - Lupe,2026-07-01,2026-08-15,-33,Current,162.81,162.81,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Roth's Food Center,Roth's Food Center,CP130800 Roth's Food Center:CP131650 Roth's Food Center: Sunnyslope - Deli/Cafe,Invoice [AR INVOICE],INV847737,Phone - Erika,2026-07-09,2026-08-23,-41,Current,236.42,236.42,0.0,sunnyslope@roths.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Sisters of the Holy Names,Sisters of the Holy Names,CP132451 Sisters of the Holy Names:CP132450 Sisters of the Holy Names: Gleason Dr,Invoice [AR INVOICE],INV812919,Email - Laura 7/29,2025-07-31,2025-09-14,302,91+,145.22,145.22,0.0,HRockwell@snjmuson.org,,Foodservice Direct,,Net 45,- House Account -,,Foodservice Direct,2026-07-13
Sisters of the Holy Names,Sisters of the Holy Names,CP132451 Sisters of the Holy Names:CP132450 Sisters of the Holy Names: Gleason Dr,Invoice [AR INVOICE],INV825676,Laura - Email,2025-11-12,2025-12-27,198,91+,242.82,242.82,0.0,HRockwell@snjmuson.org,,Foodservice Direct,,Net 45,- House Account -,,Foodservice Direct,2026-07-13
Sisters of the Holy Names,Sisters of the Holy Names,CP132451 Sisters of the Holy Names:CP132500 Sisters of the Holy Names: Holy Name Dr,Invoice [AR INVOICE],INV845160,Julia McBride,2026-06-08,2026-07-23,-10,Current,39.95,39.95,0.0,jmcbride@snjmuson.org,,Foodservice Direct,,Net 45,- House Account -,,Foodservice Direct,2026-07-13
Sisters of the Holy Names,Sisters of the Holy Names,CP132451 Sisters of the Holy Names:CP132500 Sisters of the Holy Names: Holy Name Dr,Invoice [AR INVOICE],INV847856,Julia McBride - Email,2026-07-10,2026-08-24,-42,Current,68.63,68.63,0.0,jmcbride@snjmuson.org,,Foodservice Direct,,Net 45,- House Account -,,Foodservice Direct,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV802397,27061890,2025-05-05,2025-06-19,389,91+,3103.74,2814.06,289.67999999999984,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV834562,27867730,2026-02-18,2026-04-04,100,91+,1916.65,1916.65,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Chargeback,CM68090,ACH 052CA000972622 | PYMT99619,2026-03-24,2026-03-24,111,91+,-1682.72,-1682.72,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,On Account Payment,Net 45,Megan Adams,On Account Payment (OAP),Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV839167,28002160,2026-04-07,2026-05-22,52,31-60,845.04,845.04,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV839850,28020580,2026-04-15,2026-05-30,44,31-60,3143.58,3143.58,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Payment,PYMT101247,,2026-04-21,2026-04-21,83,61-90,-3065.53,-3065.53,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,ACH 052CA000973302,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV840962,28039170,2026-04-24,2026-06-08,35,31-60,1216.92,1216.92,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV842128,28080430,2026-05-06,2026-06-20,23,15-30,1453.5,1453.5,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Chargeback,CM68091,ACH 052CA000973987 | PYMT100536,2026-05-19,2026-05-19,55,31-60,-3850.52,-3850.52,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,On Account Payment,Net 45,Megan Adams,On Account Payment (OAP),Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV844112,28139240,2026-05-27,2026-07-11,2,1-14,2670.42,2670.42,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Chargeback,CM68092,ACH 052CA000974327 | PYMT100803,2026-06-03,2026-06-03,40,31-60,-955.62,-955.62,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,On Account Payment,Net 45,Megan Adams,On Account Payment (OAP),Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Chargeback,CM68025,ACH 045CA000416646 | PYMT100929,2026-06-15,2026-06-15,28,15-30,-2989.64,-2989.64,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,Duplicate Payment | INV836345,Net 45,Megan Adams,Duplicate PMT,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV845765,28199160,2026-06-16,2026-07-31,-18,Current,845.04,845.04,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV846685,28220990,2026-06-24,2026-08-08,-26,Current,845.04,845.04,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Sysco Food Services of Ptld,,CP132850 Sysco Food Services of Ptld,Invoice [AR INVOICE],INV847591,28264260,2026-07-08,2026-08-22,-40,Current,1825.38,1825.38,0.0,SupplierInvoices@sysco.com,,Foodservice Distributor,,Net 45,Megan Adams,,Foodservice Distributor,2026-07-13
Main Street Beauty Salon,,CP133050 Main Street Beauty Salon,Payment,4I2B61SZY2SA,,2026-01-29,2026-01-29,165,91+,-84.63,-84.63,0.0,mommycute1968@gmail.com,tintrng26@yahoo.com,Foodservice Direct,,Credit Card (Preauthorized),- House Account -,,Foodservice Direct,2026-07-13
Verl & Ann Jensen,,CP133400 Verl & Ann Jensen,Invoice [AR INVOICE],INV815638,Ann,2025-08-20,2025-08-20,327,91+,148.53,148.53,0.0,,,Foodservice Direct,,Credit Card (Preauthorized),- House Account -,,Foodservice Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Chargeback,CM67391,INV830247,2026-03-01,2026-03-01,134,91+,-188.82,-188.82,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,Duplicate Payment | INV830247,Net 45,Kristen Springer,Duplicate PMT,Grocery Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Chargeback,CM67442,INV801722 - Overpaid,2026-03-01,2026-03-01,134,91+,-25.0,-25.0,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,Overpayment | INV801722,Net 45,Kristen Springer,Overpayment,Grocery Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Chargeback,CM67452,INV828877,2026-03-01,2026-03-01,134,91+,-52.86,-52.86,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,Overpayment | INV828877,Net 45,Kristen Springer,Overpayment,Grocery Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Chargeback,CM67453,INV831464,2026-03-01,2026-03-01,134,91+,-47.82,-47.82,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,Overpayment | INV831464,Net 45,Kristen Springer,Overpayment,Grocery Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Chargeback,CM67599,ACH 34948495 | PYMT99794,2026-03-31,2026-03-31,104,91+,-66.72,-66.72,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,Overpayment | SO46359 | INV835539,Net 45,Kristen Springer,Overpayment,Grocery Direct,2026-07-13
Whole Foods Market PNW,,CP133600 Whole Foods Market PNW,Payment,PYMT101253,,2026-07-10,2026-07-10,3,1-14,-200.16,-200.16,0.0,Product.AP@wholefoods.com,national.ap@wholefoods.com,Grocery Direct,ACH 36126968,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP111150 Whole Foods Market PN - Lake Oswego LKO,Invoice [AR INVOICE],INV835601,153852261,2025-07-08,2025-08-22,325,91+,314.7,314.7,0.0,sarah.wilmot@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP111150 Whole Foods Market PN - Lake Oswego LKO,Invoice [AR INVOICE],INV827524,158643062,2025-12-03,2026-01-17,177,91+,62.94,62.94,0.0,sarah.wilmot@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP111150 Whole Foods Market PN - Lake Oswego LKO,Invoice [AR INVOICE],INV844905,164404546,2026-06-04,2026-07-19,-6,Current,66.72,66.72,0.0,sarah.wilmot@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP111150 Whole Foods Market PN - Lake Oswego LKO,Invoice [AR INVOICE],INV846778,165352715,2026-06-25,2026-08-09,-27,Current,91.72,91.72,0.0,sarah.wilmot@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP111150 Whole Foods Market PN - Lake Oswego LKO,Invoice [AR INVOICE],INV847081,165579067,2026-06-30,2026-08-14,-32,Current,358.6,358.6,0.0,sarah.wilmot@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133650 Whole Foods Market PN: Bellevue BLV,Chargeback,CM67535,ACH 34784553 | PYMT99420,2026-03-12,2026-03-12,123,91+,-44.04,-44.04,0.0,nancy.wolfe@wholefoods.com,,Grocery Direct,Overpayment | INV834019,Net 45,Kristen Springer,Overpayment,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133650 Whole Foods Market PN: Bellevue BLV,Invoice [AR INVOICE],INV844819,164401279,2026-06-04,2026-07-19,-6,Current,337.62,337.62,0.0,nancy.wolfe@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133650 Whole Foods Market PN: Bellevue BLV,Invoice [AR INVOICE],INV846845,165351177,2026-06-26,2026-08-10,-28,Current,333.6,333.6,0.0,nancy.wolfe@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133650 Whole Foods Market PN: Bellevue BLV,Invoice [AR INVOICE],INV847191,165576032,2026-07-01,2026-08-15,-33,Current,66.72,66.72,0.0,nancy.wolfe@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133650 Whole Foods Market PN: Bellevue BLV,Invoice [AR INVOICE],INV847809,165791150,2026-07-10,2026-08-24,-42,Current,133.44,133.44,0.0,nancy.wolfe@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133700 Whole Foods Market PN - Bellingham Lakeway BLW,Invoice [AR INVOICE],INV801135,151142074,2025-04-21,2025-06-05,403,91+,59.4,59.4,0.0,elizabeth.wysong-schmidt@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133700 Whole Foods Market PN - Bellingham Lakeway BLW,Invoice [AR INVOICE],INV846037,165130691,2026-06-18,2026-08-02,-20,Current,266.88,266.88,0.0,elizabeth.wysong-schmidt@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133700 Whole Foods Market PN - Bellingham Lakeway BLW,Invoice [AR INVOICE],INV846843,165350721,2026-06-26,2026-08-10,-28,Current,600.48,600.48,0.0,elizabeth.wysong-schmidt@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133700 Whole Foods Market PN - Bellingham Lakeway BLW,Invoice [AR INVOICE],INV847185,165575526,2026-07-01,2026-08-15,-33,Current,333.6,333.6,0.0,elizabeth.wysong-schmidt@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133700 Whole Foods Market PN - Bellingham Lakeway BLW,Invoice [AR INVOICE],INV847497,165789634,2026-07-07,2026-08-21,-39,Current,66.72,66.72,0.0,elizabeth.wysong-schmidt@wholefoods.com,,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133750 Whole Foods Market PN: Bend BND,Invoice [AR INVOICE],INV803686,152213411,2025-05-19,2025-07-03,375,91+,59.4,59.4,0.0,Product.AP@wholefoods.com,gretchen.smith@wholefoods.com,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133750 Whole Foods Market PN: Bend BND,Invoice [AR INVOICE],INV846820,165276979,2026-06-26,2026-08-10,-28,Current,467.04,467.04,0.0,Product.AP@wholefoods.com,gretchen.smith@wholefoods.com,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Whole Foods Market PNW,Whole Foods Market PNW,CP133600 Whole Foods Market PNW:CP133750 Whole Foods Market PN: Bend BND,Invoice [AR INVOICE],INV846860,165396488,2026-06-26,2026-08-10,-28,Current,133.44,133.44,0.0,Product.AP@wholefoods.com,gretchen.smith@wholefoods.com,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
